AP1RTT,AP1STDEV,AP1RSS,AP2RTT,AP2STDEV,AP2RSS,AP3RTT,AP3STDEV,AP3RSS,x,y
7.701,2.21,-65,1.047,0.177,-47,10.491,1.677,-70,1,1
7.731,2.18,-65,1.047,0.088,-47,10.959,0.152,-67,1,1
7.789,2.226,-65,1.077,0.132,-47,10.647,1.631,-70,1,1
7.818,2.096,-60,1.077,0.132,-46,9.827,2.068,-70,1,1
7.818,2.471,-60,1.106,0.086,-47,10.217,0.454,-68,1,1
7.75,2.198,-65,1.047,0.159,-47,10.364,0.218,-70,1,1
7.76,2.106,-65,1.047,0.158,-47,16.311,0.089,-71,1,1
7.877,2.135,-62,1.038,0.076,-47,10.452,0.759,-71,1,1
7.76,2.142,-64,1.106,0.123,-47,9.836,0.431,-70,1,1
7.731,2.119,-64,1.116,0.138,-47,10.334,1.758,-69,1,1
7.906,2.05,-64,1.135,0.15,-48,10.491,2.046,-71,1,1
7.818,2.132,-64,1.038,0.121,-47,10.452,1.96,-71,1,1
7.818,2.057,-64,0.989,0.15,-47,10.491,1.868,-70,1,1
7.76,2.124,-64,1.106,0.138,-47,10.491,2.026,-69,1,1
7.73,2.122,-64,1.077,0.12,-47,10.569,1.987,-69,1,1
7.701,2.093,-64,0.998,0.164,-47,10.53,1.907,-70,1,1
7.76,2.182,-64,0.998,0.196,-47,16.282,0.141,-72,1,1
7.672,2.15,-64,1.135,0.123,-47,10.53,1.747,-71,1,1
7.789,2.151,-64,1.047,0.146,-47,10.491,0.708,-72,1,1
7.848,2.142,-64,1.077,0.14,-47,9.924,0.266,-66,1,1
7.643,2.201,-64,0.989,0.164,-47,10.491,1.072,-72,1,1
7.73,2.198,-64,1.018,0.14,-47,10.686,1.639,-69,1,1
7.76,2.191,-59,1.077,0.116,-46,10.803,1.875,-72,1,1
7.584,2.014,-63,1.077,0.188,-47,10.725,2.862,-72,1,1
7.789,2.166,-63,0.959,0.177,-47,10.764,1.803,-71,1,1
